FatalityId,Circumstances,DogClassification
397,"The dogs belonged to the victim's daughter, who had prior issues with unlicensed and unrestrained dogs.",Family Dog
398,The dogsitting situation does not specify the ownership status of the dog involved.,Unknown
399,The dog was a family pet.,Family Dog
400,The dog was recently adopted from a relative.,Family Dog
401,The dogs’ ownership status is not specified; they were involved in the attack on the victim.,Unknown
402,The dogs involved were not specified as family or stray; they were multiple dogs that attacked.,Unknown
403,The dogs had previously attacked others but their ownership or background is not detailed.,Unknown
404,The dogs involved were not identified as family pets.,Not Family
405,"The attack involved a dog from the step-grandmother’s home, but specific details about the dog's status are not provided.",Unknown
406,The dog was the family pet.,Family Dog
407,"The dogs were half-sister's pets, implying family ownership.",Family Dog
408,The dog was a family pet.,Family Dog
409,The dogs' ownership status is not specified; the incident involved an attack while walking to a bus stop.,Unknown
410,The dog was a family pet.,Family Dog
411,"The dogs were the victim’s pets, though they were reported to have attacked and consumed the body.",Family Dog
412,"The pit bull was owned by a kennel client, not the victim.",Not Family
413,The dog involved was a family pet.,Family Dog
414,The dog was a family pet.,Family Dog
415,The dogs were neighbor's pets.,Not Family
416,The dog was a family pet.,Family Dog
417,The police dog involved was a working dog but had the permission of the handler to be on the premises.,Family Dog
418,The dogs involved were loose and not specified as family or stray.,Not Family
419,The ownership status of the dogs involved in the attack is not specified.,Unknown
420,The dog involved was a family pet with prior bite incidents.,Family Dog
421,The dogs were a pack and not specified as family pets.,Not Family
422,The dog was a family pet.,Family Dog
423,"The dog was not specified as a family pet, but as one that became agitated.",Not Family
424,The dog was a family pet.,Family Dog
425,The dogs dug under a fence and were not specified as family pets.,Not Family
426,The dog involved was a family pet.,Family Dog
427,The dogs were neighbor's pets being pet-sat.,Not Family
428,The dogs were a pack and not specified as family pets.,Not Family
429,The dog involved was the victim’s family pet.,Family Dog
430,The dogs involved were not specified as family pets.,Not Family
431,The dogs' ownership status is not specified; they were involved in a mauling.,Not Family
432,The dogs were neighbor's pets.,Not Family
433,The dog involved was the grandparent’s pet.,Family Dog
434,The dog was from an animal shelter but its ownership or background is not specified.,Unknown
435,"The dog was a family pet, though being watched by the great-grandmother who was renting a room.",Family Dog
436,The dogs involved were not identified as family pets.,Not Family
437,The dogs escaped from a neighbor’s fenced backyard.,Not Family
438,The dogs were the victim’s pets.,Family Dog
439,The dogs were neighbor's pets and had a history of aggressive behavior.,Not Family
440,The dogs were being dog-sat but specific ownership status is not provided.,Unknown
441,The dog was a family pet.,Family Dog
442,"The dogs escaped from a nearby house, not specified as family pets.",Not Family
443,The dogs involved were the victim’s pets.,Family Dog
444,The dogs were strays or had escaped; not specified as family pets.,Not Family
445,The dogs were identified as strays in the area.,Stray Dog
446,The dogs involved were the family pets of the Bennard siblings.,Family Dog
447,The dogs' ownership status is not specified; they were being held by animal control.,Unknown
448,The dogs were aggressive strays that were shot by authorities.,Not Family
449,"The dog was a neighbor's pet, not a family pet.",Not Family
450,The dogs involved were neighbor's pets.,Not Family
451,The dogs escaped from a neighbor's yard and were involved in previous incidents.,Not Family
452,The dog was a family pet at a family member's house.,Family Dog
453,The dogs were not specified as family pets; they were being watched temporarily.,Not Family
454,The dogs were not identified as family pets but were involved in the incident while dog-sitting.,Not Family
455,The two loose dogs were not specified as family pets.,Not Family
456,The dogs were a pack and not specified as family pets.,Not Family
457,The dogs' ownership status is not specified; they attacked when McKenzie left his house.,Not Family
458,The dogs were neighbor's pets that attacked.,Not Family
459,The dogs were neighbor's pets that had escaped.,Not Family
460,The dogs were the victim’s son's pets.,Family Dog
461,The dog involved was a family pet.,Family Dog
462,The dog involved was a family pet.,Family Dog
463,"The dogs belonged to a family friend, not the victim's family.",Not Family
464,The dogs were loose and came into the backyard from outside sources.,Not Family
465,The dogs were a breeding group and were not specified as family pets.,Not Family
466,The dog was a neighbor's pet.,Not Family
467,The dogs were from the neighbor's dog pen.,Not Family
468,The dog involved was a family pet.,Family Dog
469,The dogs were not specified as family pets but were under the care of a babysitter.,Not Family
470,The dog involved was a family pet.,Family Dog
471,The dog involved was a family pet.,Family Dog
472,The dog involved was a family pet.,Family Dog
473,The Pit Bull was not specified as a family pet but was an aggressive breed.,Not Family
474,The dogs were not specified as family pets and were involved in multiple attacks.,Not Family
475,The dog involved was not specified as a family pet.,Not Family
476,The dogs were neighbor's pets and involved in an attack.,Not Family
477,The dog involved was a family pet.,Family Dog
478,The dog was a neighbor's pet.,Not Family
479,"The dog was an employer's pet, not specified as a family pet.",Not Family
480,The Pit Bull was kept tied up and was not specified as a family pet.,Not Family
481,The dog involved was a family pet.,Family Dog
482,The three dogs escaped from a neighbor's yard and attacked.,Not Family
483,The dog involved was the man's pet.,Family Dog
484,The Pit Bull was not specified as a family pet and was involved in the death of the baby.,Not Family
485,The two Pit Bulls were the victim's sons' pets.,Family Dog
486,The dog was a neighbor's pet temporarily entrusted to the victim.,Not Family
487,The three dogs involved were not specified as family pets.,Not Family
488,The dog was previously involved in attacks and had a history of aggression.,Not Family
489,The dog was not identified as a family pet and attacked both the man and the woman.,Not Family
490,The dog involved was a friend's pet.,Not Family
491,The dogs were not identified as family pets; they attacked while the girl was alone.,Not Family
492,The dog involved was the grandparents' pet.,Family Dog
493,The loose dog that attacked was not specified as a family pet.,Not Family
494,The dog involved was not identified as a family pet and attacked severely.,Not Family
495,The dog involved was a family pet and had been with the family since puppyhood.,Family Dog
496,The dog named Aron was a family pet and attacked due to being pulled by the tail.,Family Dog
497,The pack of stray dogs was not identified as family pets.,Not Family
498,"The dogs involved were a breeding pair and a puppy, not specified as family pets.",Not Family
499,The dog involved was a family pet and attacked the child.,Family Dog
500,The dogs were not identified as family pets; the girl was attacked while in the kennel.,Not Family
501,The dog involved attacked both the owner and a second woman who tried to help.,Not Family
502,The dog involved was a family pet and attacked the young boy.,Family Dog
503,The three dogs involved were kept at the victim’s house.,Family Dog
504,The dogs involved were kept by the owner and were not identified as family pets.,Not Family
505,The dogs involved attacked the girl when she went into the yard searching for her mother.,Not Family
506,The dogs involved were part of a larger group kept by someone who had 15 to 20 sled dogs.,Not Family
507,The two dogs that attacked were not specified as family pets and were involved in a schoolyard attack.,Not Family
508,The ten-year-old dog was a family pet.,Family Dog
509,The family pet named Killer attacked the toddler in front of the family.,Family Dog
510,The guard dog that attacked was a family pet.,Family Dog
511,The dogs escaped through a fence and attacked; they were not identified as family pets.,Not Family
512,The dog involved was not identified as a family pet; the girl was attacked by a dog in a hospital context.,Not Family
513,The dogs belonged to the landlord and were not specified as family pets.,Not Family
514,The dogs involved were the victim's own dogs.,Family Dog
515,The dogs that attacked were escaped and not specified as family pets.,Not Family
516,The dog involved was the owner's pet but not identified as a family pet in the context of the repair incident.,Not Family
517,"The dog involved was the employer's pet, not specified as a family pet.",Not Family
518,The dog that injured five people was not identified as a family pet.,Not Family
519,The three dogs were not identified as family pets and were involved in the attack after being released.,Not Family
520,The two dogs that attacked were not specified as family pets and had a history of previous bites.,Not Family
521,The three dogs involved were not identified as family pets and had previously killed another person.,Not Family
